"original_name","original_type","transformation","field_name","field_type"
,"text","person_uuid(REGEXP_REPLACE(""cpf"", '[./-]', '', 'g'), ""nome"")","pessoa_uuid","uuid"
"Id_SERVIDOR_PORTAL","text","id_servidor_portal","id_servidor_portal","text"
"NOME","text","nome","nome","text"
"CPF","text","REGEXP_REPLACE(""cpf"", '[./-]', '', 'g')","cpf","text"
"MATRICULA","text","matricula","matricula","text"
"COD_TIPO_APOSENTADORIA","text","cod_tipo_aposentadoria","cod_tipo_aposentadoria","text"
"TIPO_APOSENTADORIA","text","tipo_aposentadoria","tipo_aposentadoria","text"
"DATA_APOSENTADORIA","text","TO_DATE(""data_aposentadoria"", 'dd/mm/yyyy')","data_aposentadoria","date"
"DESCRICAO_CARGO","text","clean_text(""descricao_cargo"")","descricao_cargo","text"
"COD_UORG_LOTACAO","text","cod_uorg_lotacao","cod_uorg_lotacao","text"
"UORG_LOTACAO","text","clean_text(""uorg_lotacao"")","uorg_lotacao","text"
"COD_ORG_LOTACAO","text","cod_org_lotacao","cod_org_lotacao","text"
"ORG_LOTACAO","text","org_lotacao","org_lotacao","text"
"COD_ORGSUP_LOTACAO","text","cod_orgsup_lotacao","cod_orgsup_lotacao","text"
"ORGSUP_LOTACAO","text","clean_text(""orgsup_lotacao"")","orgsup_lotacao","text"
"COD_TIPO_VINCULO","text","cod_tipo_vinculo","cod_tipo_vinculo","text"
"TIPO_VINCULO","text","tipo_vinculo","tipo_vinculo","text"
"SITUACAO_VINCULO","text","situacao_vinculo","situacao_vinculo","text"
"REGIME_JURIDICO","text","regime_juridico","regime_juridico","text"
"JORNADA_DE_TRABALHO","text","jornada_de_trabalho","jornada_de_trabalho","text"
"DATA_INGRESSO_CARGOFUNCAO","text","TO_DATE(""data_ingresso_cargofuncao"", 'dd/mm/yyyy')","data_ingresso_cargofuncao","date"
"DATA_NOMEACAO_CARGOFUNCAO","text","TO_DATE(""data_nomeacao_cargofuncao"", 'dd/mm/yyyy')","data_nomeacao_cargofuncao","date"
"DATA_INGRESSO_ORGAO","text","TO_DATE(""data_ingresso_orgao"", 'dd/mm/yyyy')","data_ingresso_orgao","date"
"DOCUMENTO_INGRESSO_SERVICOPUBLICO","text","documento_ingresso_servicopublico","documento_ingresso_servicopublico","text"
"DATA_DIPLOMA_INGRESSO_SERVICOPUBLICO","text","TO_DATE(""data_diploma_ingresso_servicopublico"", 'dd/mm/yyyy')","data_diploma_ingresso_servicopublico","text"
"DIPLOMA_INGRESSO_CARGOFUNCAO","text","diploma_ingresso_cargofuncao","diploma_ingresso_cargofuncao","text"
"DIPLOMA_INGRESSO_ORGAO","text","diploma_ingresso_orgao","diploma_ingresso_orgao","text"
"DIPLOMA_INGRESSO_SERVICOPUBLICO","text","diploma_ingresso_servicopublico","diploma_ingresso_servicopublico","text"
