original_name,field_name,field_type
Ano e mês do lançamento,anomes_lancamento,text
Código Órgão Superior,codigo_orgao_superior,text
Nome Órgão Superior,nome_orgao_superior,text
Código Órgão Subordinado,codigo_orgao_subordinado,text
Nome Órgão Subordinado,nome_orgao_subordinado,text
Código Unidade Gestora,codigo_unidade_gestora,text
Nome Unidade Gestora,nome_unidade_gestora,text
Código Gestão,codigo_gestao,text
Nome Gestão,nome_gestao,text
Código Unidade Orçamentária,codigo_unidade_orcamentaria,text
Nome Unidade Orçamentária,nome_unidade_orcamentaria,text
Código Função,codigo_funcao,text
Nome Função,nome_funcao,text
Código Subfução,codigo_subfucao,text
Nome Subfunção,nome_subfuncao,text
Código Programa Orçamentário,codigo_programa_orcamentario,text
Nome Programa Orçamentário,nome_programa_orcamentario,text
Código Ação,codigo_acao,text
Nome Ação,nome_acao,text
Código Plano Orçamentário,codigo_plano_orcamentario,text
Plano Orçamentário,plano_orcamentario,text
Código Programa Governo,codigo_programa_governo,text
Nome Programa Governo,nome_programa_governo,text
Código Grupo de Despesa,codigo_grupo_despesa,text
Nome Grupo de Despesa,nome_grupo_despesa,text
Código Elemento de Despesa,codigo_elemento_despesa,text
Nome Elemento de Despesa,nome_elemento_despesa,text
Código Modalidade da Despesa,codigo_modalidade_despesa,text
Modalidade da Despesa,modalidade_despesa,text
Valor Empenhado (R$),valor_empenhado,money_real
Valor Liquidado (R$),valor_liquidado,money_real
Valor Pago (R$),valor_pago,money_real
Valor Restos a Pagar Inscritos (R$),valor_restos_a_pagar_inscritos,money_real
Valor Restos a Pagar Cancelado (R$),valor_restos_a_pagar_cancelado,money_real
Valor Restos a Pagar Pagos (R$),valor_restos_a_pagar_pagos,money_real
