original_name,field_name,internal_field_type,field_type
Nome Ação,acao,text,text
Ano e mês do lançamento,anomes_lancamento,text,text
Código Ação,codigo_acao,text,text
Código Elemento de Despesa,codigo_elemento_despesa,text,text
Código Função,codigo_funcao,custom_integer,integer
Código Gestão,codigo_gestao,custom_integer,integer
Código Grupo de Despesa,codigo_grupo_despesa,text,text
Código Modalidade da Despesa,codigo_modalidade_despesa,text,text
Código Órgão Subordinado,codigo_orgao_subordinado,custom_integer,integer
Código Órgão Superior,codigo_orgao_superior,custom_integer,integer
Código Plano Orçamentário,codigo_plano_orcamentario,text,text
Código Programa Governo,codigo_programa_governo,text,text
Código Programa Orçamentário,codigo_programa_orcamentario,custom_integer,integer
Código Subfução,codigo_subfucao,custom_integer,integer
Código Unidade Gestora,codigo_unidade_gestora,custom_integer,integer
Código Unidade Orçamentária,codigo_unidade_orcamentaria,custom_integer,integer
Nome Elemento de Despesa,elemento_despesa,text,text
,em_sigilo,bool,bool
Nome Função,funcao,text,text
Nome Gestão,gestao,text,text
Nome Grupo de Despesa,grupo_despesa,text,text
Modalidade da Despesa,modalidade_despesa,text,text
Nome Órgão Subordinado,orgao_subordinado,text,text
Nome Órgão Superior,orgao_superior,text,text
Plano Orçamentário,plano_orcamentario,text,text
Nome Programa Governo,programa_governo,text,text
Nome Programa Orçamentário,programa_orcamentario,text,text
Nome Subfunção,subfuncao,text,text
Nome Unidade Gestora,unidade_gestora,text,text
Nome Unidade Orçamentária,unidade_orcamentaria,text,text
Valor Empenhado (R$),valor_empenhado,money_real,decimal
Valor Liquidado (R$),valor_liquidado,money_real,decimal
Valor Pago (R$),valor_pago,money_real,decimal
Valor Restos a Pagar Cancelado (R$),valor_restos_a_pagar_cancelado,money_real,decimal
Valor Restos a Pagar Inscritos (R$),valor_restos_a_pagar_inscritos,money_real,decimal
Valor Restos a Pagar Pagos (R$),valor_restos_a_pagar_pagos,money_real,decimal
