"original_name","original_type","field_name","field_type","transformation"
"chave_de_acesso","text","chave_acesso","text","""chave_de_acesso""::text"
"modelo","text","modelo","text","modelo"
"serie","integer","serie","smallint","""serie""::smallint"
"numero","integer","numero","integer","""numero""::integer"
"natureza_da_operacao","text","natureza_operacao","text","""natureza_da_operacao""::text"
"data_emissao","text","data_emissao","text","(to_timestamp(""data_emissao"", 'DD/MM/YYYY HH24:MI:SS') AT TIME ZONE 'UTC-3') AT TIME ZONE 'UTC'"
"evento_mais_recente","text","evento_mais_recente","text","""evento_mais_recente""::text"
"data_hora_evento_mais_recente","text","data_hora_evento_mais_recente","text","(to_timestamp(""data_hora_evento_mais_recente"", 'DD/MM/YYYY HH24:MI:SS') AT TIME ZONE 'UTC-3') AT TIME ZONE 'UTC'"
"cpf_cnpj_emitente","text","cpf_cnpj_emitente","text","""cpf_cnpj_emitente""::text"
"razao_social_emitente","text","razao_social_emitente","text","""razao_social_emitente""::text"
"inscricao_estadual_emitente","integer","inscricao_estadual_emitente","text","""inscricao_estadual_emitente""::text"
"uf_emitente","text","uf_emitente","text","""uf_emitente""::text"
"municipio_emitente","text","municipio_emitente","text","""municipio_emitente""::text"
"cnpj_destinatario","integer","cnpj_destinatario","text","""cnpj_destinatario""::text"
"nome_destinatario","text","nome_destinatario","text","""nome_destinatario""::text"
"uf_destinatario","text","uf_destinatario","text","""uf_destinatario""::text"
"indicador_ie_destinatario","text","indicador_ie_destinatario","text","""indicador_ie_destinatario""::text"
"destino_da_operacao","text","destino_operacao","text","""destino_da_operacao""::text"
"consumidor_final","text","consumidor_final","text","""consumidor_final""::text"
"presenca_do_comprador","text","presenca_comprador","text","""presenca_do_comprador""::text"
"valor_nota_fiscal","text","valor","text","""valor_nota_fiscal""::text"
