original_name,field_name,field_type
Código Órgão Superior,codigo_orgao_superior,integer
Nome Órgão Superior,nome_orgao_superior,text
Código Órgão,codigo_orgao,integer
Nome Órgao,nome_orgao,text
Código Unidade Gestora,codigo_unidade_gestora,integer
Nome Unidade Gestora,nome_unidade_gestora,text
Código Grupo Despesa,codigo_grupo_despesa,integer
Nome Grupo Despesa,nome_grupo_despesa,text
Código Elemento Despesa,codigo_elemento_despesa,text
Nome Elemento Despesa,nome_elemento_despesa,text
Código Função,codigo_funcao,text
Nome Função,nome_funcao,text
Código Subfunção,codigo_subfuncao,text
Nome Subfunção,nome_subfuncao,text
Código Programa,codigo_programa,text
Nome Programa,nome_programa,text
Código Ação,codigo_acao,text
Nome Ação,nome_acao,text
Linguagem Cidadã,linguagem_cidada,text
Código Favorecido,codigo_favorecido,text
Nome Favorecido,nome_favorecido,text
Número Documento,numero_documento,text
Gestão Pagamento,gestao_pagamento,text
Data Pagamento,data_pagamento,date
Valor,valor,money_real
