"original_name","original_type","transformation","field_name","field_type"
,"text","person_uuid(REGEXP_REPLACE(""cpf"", '[./-]', '', 'g'), ""nome"")","pessoa_uuid","uuid"
"Id_SERVIDOR_PORTAL","text","""id_servidor_portal""","id_servidor_portal","text"
"NOME","text","""nome""","nome","text"
"CPF","text","REGEXP_REPLACE(""cpf"", '[./-]', '', 'g')","cpf","text"
"MATRICULA","text","""matricula""","matricula","text"
"CPF_REPRESENTANTE_LEGAL","text","REGEXP_REPLACE(""cpf_representante_legal"", '[./-]', '', 'g')","cpf_representante_legal","text"
"NOME_REPRESENTANTE_LEGAL","text","""nome_representante_legal""","nome_representante_legal","text"
"CPF_INSTITUIDOR_PENSAO","text","REGEXP_REPLACE(""cpf_instituidor_pensao"", '[./-]', '', 'g')","cpf_instituidor_pensao","text"
"NOME_INSTITUIDOR_PENSAO","text","clean_text(""nome_instituidor_pensao"")","nome_instituidor_pensao","text"
"COD_TIPO_PENSAO","text","""cod_tipo_pensao""","cod_tipo_pensao","text"
"TIPO_PENSAO","text","""tipo_pensao""","tipo_pensao","text"
"DATA_INICIO_PENSAO","text","TO_DATE(""data_inicio_pensao"", 'dd/mm/YYYY')","data_inicio_pensao","date"
"DESCRICAO_CARGO_INSTITUIDOR_PENSAO","text","clean_text(""descricao_cargo_instituidor_pensao"")","descricao_cargo_instituidor_pensao","text"
"COD_UORG_LOTACAO_INSTITUIDOR_PENSAO","text","""cod_uorg_lotacao_instituidor_pensao""","cod_uorg_lotacao_instituidor_pensao","text"
"UORG_LOTACAO_INSTITUIDOR_PENSAO","text","clean_text(""uorg_lotacao_instituidor_pensao"")","uorg_lotacao_instituidor_pensao","text"
"COD_ORG_LOTACAO_INSTITUIDOR_PENSAO","text","""cod_org_lotacao_instituidor_pensao""","cod_org_lotacao_instituidor_pensao","text"
"ORG_LOTACAO_INSTITUIDOR_PENSAO","text","""org_lotacao_instituidor_pensao""","org_lotacao_instituidor_pensao","text"
"COD_ORGSUP_LOTACAO_INSTITUIDOR_PENSAO","text","""cod_orgsup_lotacao_instituidor_pensao""","cod_orgsup_lotacao_instituidor_pensao","text"
"ORGSUP_LOTACAO_INSTITUIDOR_PENSAO","text","clean_text(""orgsup_lotacao_instituidor_pensao"")","orgsup_lotacao_instituidor_pensao_instituidor_pensao","text"
"COD_TIPO_VINCULO","text","""cod_tipo_vinculo""","cod_tipo_vinculo","text"
"TIPO_VINCULO","text","""tipo_vinculo""","tipo_vinculo","text"
"SITUACAO_VINCULO","text","""situacao_vinculo""","situacao_vinculo","text"
"REGIME_JURIDICO_INSTITUIDOR_PENSAO","text","""regime_juridico_instituidor_pensao""","regime_juridico_instituidor_pensao","text"
"JORNADA_DE_TRABALHO_INSTITUIDOR_PENSAO","text","""jornada_de_trabalho_instituidor_pensao""","jornada_de_trabalho_instituidor_pensao","text"
"DATA_INGRESSO_CARGOFUNCAO_INSTITUIDOR_PENSAO","text","TO_DATE(""data_ingresso_cargofuncao_instituidor_pensao"", 'dd/mm/YYYY')","data_ingresso_cargofuncao_instituidor_pensao","date"
"DATA_NOMEACAO_CARGOFUNCAO_INSTITUIDOR_PENSAO","text","TO_DATE(""data_nomeacao_cargofuncao_instituidor_pensao"", 'dd/mm/YYYY')","data_nomeacao_cargofuncao_instituidor_pensao","date"
"DATA_INGRESSO_ORGAO_INSTITUIDOR_PENSAO","text","TO_DATE(""data_ingresso_orgao_instituidor_pensao"", 'dd/mm/YYYY')","data_ingresso_orgao_instituidor_pensao","date"
"DOCUMENTO_INGRESSO_SERVICOPUBLICO_INSTITUIDOR_PENSAO","text","""documento_ingresso_servicopublico_instituidor_pensao""","documento_ingresso_servicopublico_instituidor_pensao","text"
"DATA_DIPLOMA_INGRESSO_SERVICOPUBLICO_INSTITUIDOR_PENSAO","text","TO_DATE(""data_diploma_ingresso_servicopublico_instituidor_pensao"", 'dd/mm/YYYY')","data_diploma_ingresso_servicopublico_instituidor_pensao","date"
"DIPLOMA_INGRESSO_CARGOFUNCAO_INSTITUIDOR_PENSAO","text","""diploma_ingresso_cargofuncao_instituidor_pensao""","diploma_ingresso_cargofuncao_instituidor_pensao","text"
"DIPLOMA_INGRESSO_ORGAO_INSTITUIDOR_PENSAO","text","""diploma_ingresso_orgao_instituidor_pensao""","diploma_ingresso_orgao_instituidor_pensao","text"
"DIPLOMA_INGRESSO_SERVICOPUBLICO_INSTITUIDOR_PENSAO","text","""diploma_ingresso_servicopublico_instituidor_pensao""","diploma_ingresso_servicopublico_instituidor_pensao","text"
