field_name,field_type,null,min,max,subtype,max_length,choices
ano_calendario,integer,false,2021,2021,SMALLINT,,null
cnpj,integer,false,208000100,98669997000171,BIGINT,,null
razao_social,text,false,,,VARCHAR,144,null
nome_fantasia,text,true,,,VARCHAR,55,null
codigo_cnae,integer,false,0,97005,INTEGER,,null
cnae,text,false,,,VARCHAR,144,null
municipio,text,false,,,VARCHAR,28,null
uf,text,false,,,VARCHAR,2,"[""AC"", ""AL"", ""AM"", ""AP"", ""BA"", ""CE"", ""DF"", ""ES"", ""EX"", ""GO"", ""MA"", ""MG"", ""MS"", ""MT"", ""PA"", ""PB"", ""PE"", ""PI"", ""PR"", ""RJ"", ""RN"", ""RO"", ""RR"", ""RS"", ""SC"", ""SE"", ""SP"", ""TO""]"
tipo_renuncia,text,false,,,VARCHAR,59,"[""Declarado pelo Contribuinte para Apura\u00e7\u00e3o do IRPJ e da CSLL"", ""Imposto de Importa\u00e7\u00e3o e IPI Vinculado"", ""PIS/COFINS Vinculados \u00e0 Importa\u00e7\u00e3o""]"
beneficio_fiscal,text,false,,,VARCHAR,87,"[""Atividade Audiovisual - Dedu\u00e7\u00e3o do Imposto de Renda"", ""COFINS"", ""Empresa Cidad\u00e3"", ""Finor - Fundo de Investimentos do Nordeste"", ""Fundos de Direitos da Crian\u00e7a e do Adolescente"", ""Fundos do Idoso"", ""Hor\u00e1rio Eleitoral"", ""IPI"", ""Imposto de Importa\u00e7\u00e3o"", ""Incentivo ao Desporto"", ""PIS"", ""Padis - Programa de Apoio ao Desenvolvimento Tecnol\u00f3gico da Ind\u00fastria de Semicondutores"", ""Programa Rota 2030 CSLL"", ""Programa Rota 2030 IR"", ""Programa de Alimenta\u00e7\u00e3o do Trabalhador"", ""Pronac - Programa Nacional de Apoio \u00e0 Cultura - Dedu\u00e7\u00e3o do Imposto de Renda"", ""Pronas/PCD - Programa Nacional de Apoio \u00e0 Aten\u00e7\u00e3o da Sa\u00fade da Pessoa com Defici\u00eancia"", ""Pronon - Programa Nacional de Apoio \u00e0 Aten\u00e7\u00e3o Oncol\u00f3gica"", ""Prouni - Programa Universidade para Todos"", ""Prouni - Programa Universidade para Todos CSLL"", ""Sudam/Sudene - Isen\u00e7\u00e3o Projeto Industrial / Agr\u00edcola"", ""Sudam/Sudene - Isen\u00e7\u00e3o Projeto Tecnologia Digital"", ""Sudam/Sudene - Redu\u00e7\u00e3o 75% Projeto Setor Priorit\u00e1rio"", ""Sudam/Sudene - Redu\u00e7\u00e3o Escalonada Setor Priorit\u00e1rio, Projeto Industrial / Agr\u00edcola"", ""Sudam/Sudene - Redu\u00e7\u00e3o por Reinvestimento""]"
