"original_name","original_type","transformation","field_name","field_type"
"ID DO ACORDO","text","clean_text(""id_do_acordo"")","id","text"
"CNPJ DO SANCIONADO","text","REGEXP_REPLACE(""cnpj_do_sancionado"", '[^0-9]+', '', 'g')","sancionado_cnpj","text"
"RAZÃO SOCIAL � CADASTRO RECEITA","text","clean_text(""razao_social_cadastro_receita"")","sancionado_razao_social","text"
"NOME FANTASIA � CADASTRO RECEITA","text","clean_text(""nome_fantasia_cadastro_receita"")","sancionado_nome_fantasia","text"
"DATA DE INÍCIO DO ACORDO","text","TO_DATE(""data_de_inicio_do_acordo"", 'DD/MM/YYYY')","data_inicio","date"
"DATA DE FIM DO ACORDO","text","TO_DATE(""data_de_fim_do_acordo"", 'DD/MM/YYYY')","data_fim","date"
"SITUAÇÃO DO ACORDO DE LENIÊNICA","text","clean_text(""situacao_do_acordo_de_lenienica"")","situacao","text"
"DATA DA INFORMAÇÃO","text","TO_DATE(""data_da_informacao"", 'DD/MM/YYYY')","data_informacao","text"
"NÚMERO DO PROCESSO","text","clean_text(""numero_do_processo"")","processo","text"
"TERMOS DO ACORDO","text","clean_text(""termos_do_acordo"")","termos","text"
"ÓRGÃO SANCIONADOR","text","clean_text(""orgao_sancionador"")","orgao","text"
