"original_name","original_type","transformation","field_name","field_type"
"CADASTRO","text","clean_text(""cadastro"")","cadastro","text"
"CÓDIGO DA SANÇÃO","text","clean_text(""codigo_da_sancao"")","codigo","text"
"TIPO DE PESSOA","text","clean_text(""tipo_de_pessoa"")","sancionado_tipo","text"
"CPF OU CNPJ DO SANCIONADO","text","REGEXP_REPLACE(""cpf_ou_cnpj_do_sancionado"", '[^0-9*]+', '', 'g')","sancionado_documento","text"
"NOME DO SANCIONADO","text","clean_text(""nome_do_sancionado"")","sancionado","text"
"CATEGORIA DA SANÇÃO","text","clean_text(""categoria_da_sancao"")","categoria","text"
"NÚMERO DO DOCUMENTO","text","clean_text(""numero_do_documento"")","documento","text"
"NÚMERO DO PROCESSO","text","clean_text(""numero_do_processo"")","processo","text"
"DATA INÍCIO SANÇÃO","text","TO_DATE(""data_inicio_sancao"", 'DD/MM/YYYY')","data_inicio","date"
"DATA FINAL SANÇÃO","text","TO_DATE(""data_final_sancao"", 'DD/MM/YYYY')","data_fim","date"
"DATA PUBLICAÇÃO","text","TO_DATE(""data_publicacao"", 'DD/MM/YYYY')","data_publicacao","date"
"PUBLICAÇÃO","text","clean_text(""publicacao"")","publicacao","text"
"DETALHAMENTO DO MEIO DE PUBLICAÇÃO","text","clean_text(""detalhamento_do_meio_de_publicacao"")","detalhamento","text"
"DATA DO TRÂNSITO EM JULGADO","text","TO_DATE(""data_do_transito_em_julgado"", 'DD/MM/YYYY')","data_transito_em_julgado","date"
"ABRAGÊNCIA DA SANÇÃO","text","clean_text(""abragencia_da_sancao"")","abrangencia","text"
"CARGO EFETIVO","text","clean_text(""cargo_efetivo"")","cargo_efetivo","text"
"FUNÇÃO OU CARGO DE CONFIANÇA","text","clean_text(""funcao_ou_cargo_de_confianca"")","funcao_cargo_confianca","text"
"ÓRGÃO DE LOTAÇÃO","text","clean_text(""orgao_de_lotacao"")","orgao_lotacao","text"
"ÓRGÃO SANCIONADOR","text","clean_text(""orgao_sancionador"")","orgao","text"
"UF ÓRGÃO SANCIONADOR","text","clean_text(""uf_orgao_sancionador"")","orgao_uf","text"
"ESFERA ÓRGÃO SANCIONADOR","text","clean_text(""esfera_orgao_sancionador"")","orgao_esfera","text"
"FUNDAMENTAÇÃO LEGAL","text","clean_text(""fundamentacao_legal"")","fundamentacao_legal","text"
"DATA ORIGEM INFORMAÇÃO","text","TO_DATE(""data_origem_informacao"", 'DD/MM/YYYY')","data_origem","date"
"ORIGEM INFORMAÇÕES","text","clean_text(""origem_informacoes"")","origem","text"
"OBSERVAÇÕES","text","clean_text(""observacoes"")","observacoes","text"
