"original_name","original_type","transformation","field_name","field_type"
,"text","person_uuid(REGEXP_REPLACE(""cpf"", '[./-]', '', 'g'), ""nome"")","pessoa_uuid","uuid"
"Id_SERVIDOR_PORTAL","text","id_servidor_portal","id_servidor_portal","text"
"NOME","text","nome","nome","text"
"CPF","text","REGEXP_REPLACE(""cpf"", '[./-]', '', 'g')","cpf","text"
"MATRICULA","text","matricula","matricula","text"
"DESCRICAO_CARGO","text","clean_text(""descricao_cargo"")","descricao_cargo","text"
"CLASSE_CARGO","text","classe_cargo","classe_cargo","text"
"REFERENCIA_CARGO","text","referencia_cargo","referencia_cargo","text"
"PADRAO_CARGO","text","padrao_cargo","padrao_cargo","text"
"NIVEL_CARGO","text","nivel_cargo","nivel_cargo","text"
"SIGLA_FUNCAO","text","sigla_funcao","sigla_funcao","text"
"NIVEL_FUNCAO","text","nivel_funcao","nivel_funcao","text"
"FUNCAO","text","clean_text(""funcao"")","funcao","text"
"CODIGO_ATIVIDADE","text","codigo_atividade","codigo_atividade","text"
"ATIVIDADE","text","clean_text(""atividade"")","atividade","text"
"OPCAO_PARCIAL","text","opcao_parcial","opcao_parcial","text"
"COD_UORG_LOTACAO","text","clean_text(""uorg_lotacao"")","cod_uorg_lotacao","text"
"UORG_LOTACAO","text","uorg_lotacao","uorg_lotacao","text"
"COD_ORG_LOTACAO","text","cod_org_lotacao","cod_org_lotacao","text"
"ORG_LOTACAO","text","org_lotacao","org_lotacao","text"
"COD_ORGSUP_LOTACAO","text","cod_orgsup_lotacao","cod_orgsup_lotacao","text"
"ORGSUP_LOTACAO","text","clean_text(""orgsup_lotacao"")","orgsup_lotacao","text"
"COD_UORG_EXERCICIO","text","cod_uorg_exercicio","cod_uorg_exercicio","text"
"UORG_EXERCICIO","text","clean_text(""uorg_exercicio"")","uorg_exercicio","text"
"COD_ORG_EXERCICIO","text","cod_org_exercicio","cod_org_exercicio","text"
"ORG_EXERCICIO","text","org_exercicio","org_exercicio","text"
"COD_ORGSUP_EXERCICIO","text","cod_orgsup_exercicio","cod_orgsup_exercicio","text"
"ORGSUP_EXERCICIO","text","clean_text(""orgsup_exercicio"")","orgsup_exercicio","text"
"COD_TIPO_VINCULO","text","cod_tipo_vinculo","cod_tipo_vinculo","text"
"TIPO_VINCULO","text","tipo_vinculo","tipo_vinculo","text"
"SITUACAO_VINCULO","text","situacao_vinculo","situacao_vinculo","text"
"DATA_INICIO_AFASTAMENTO","text","TO_DATE(""data_inicio_afastamento"", 'dd/mm/yyyy')","data_inicio_afastamento","date"
"DATA_TERMINO_AFASTAMENTO","text","TO_DATE(""data_termino_afastamento"", 'dd/mm/yyyy')","data_termino_afastamento","date"
"REGIME_JURIDICO","text","regime_juridico","regime_juridico","text"
"JORNADA_DE_TRABALHO","text","jornada_de_trabalho","jornada_de_trabalho","text"
"DATA_INGRESSO_CARGOFUNCAO","text","TO_DATE(""data_ingresso_cargofuncao"", 'dd/mm/yyyy')","data_ingresso_cargofuncao","date"
"DATA_NOMEACAO_CARGOFUNCAO","text","TO_DATE(""data_nomeacao_cargofuncao"", 'dd/mm/yyyy')","data_nomeacao_cargofuncao","date"
"DATA_INGRESSO_ORGAO","text","TO_DATE(""data_ingresso_orgao"", 'dd/mm/yyyy')","data_ingresso_orgao","date"
"DOCUMENTO_INGRESSO_SERVICOPUBLICO","text","documento_ingresso_servicopublico","documento_ingresso_servicopublico","text"
"DATA_DIPLOMA_INGRESSO_SERVICOPUBLICO","text","TO_DATE(""data_diploma_ingresso_servicopublico"", 'dd/mm/yyyy')","data_diploma_ingresso_servicopublico","date"
"DIPLOMA_INGRESSO_CARGOFUNCAO","text","diploma_ingresso_cargofuncao","diploma_ingresso_cargofuncao","text"
"DIPLOMA_INGRESSO_ORGAO","text","diploma_ingresso_orgao","diploma_ingresso_orgao","text"
"DIPLOMA_INGRESSO_SERVICOPUBLICO","text","diploma_ingresso_servicopublico","diploma_ingresso_servicopublico","text"
"UF_EXERCICIO","text","uf_exercicio","uf_exercicio","text"
