"original_name","field_name","original_type","field_type","transformation"
"ANO / MÊS","ano_mes","integer","integer","ano_mes"
"TIPO TRANSFERÊNCIA","tipo","text","text","clean_text(""tipo_transferencia"")"
"TIPO FAVORECIDO","favorecido_tipo","text","text","clean_text(""tipo_favorecido"")"
"UF","uf","text","text","clean_text(""uf"")"
"CÓDIGO MUNICÍPIO SIAFI","municipio_codigo_siafi","text","text","clean_text(""codigo_municipio_siafi"")"
"NOME MUNICÍPIO","municipio","text","text","clean_text(""nome_municipio"")"
"CÓDIGO ÓRGÃO SIAFI","orgao_codigo_siafi","text","text","clean_text(""codigo_orgao_siafi"")"
"NOME ÓRGÃO","orgao","text","text","clean_text(""nome_orgao"")"
"CÓDIGO UNIDADE GESTORA","unidade_gestora_codigo","text","text","clean_text(""codigo_unidade_gestora"")"
"NOME UNIDADE GESTORA","unidade_gestora","text","text","clean_text(""nome_unidade_gestora"")"
"CÓDIGO FUNÇÃO","funcao_codigo","text","text","clean_text(""codigo_funcao"")"
"NOME FUNÇÃO","funcao","text","text","clean_text(""nome_funcao"")"
"CÓDIGO SUBFUNÇÃO","subfuncao_codigo","text","text","clean_text(""codigo_subfuncao"")"
"NOME SUBFUNÇÃO","subfuncao","text","text","clean_text(""nome_subfuncao"")"
"CÓDIGO PROGRAMA","programa_codigo","text","text","clean_text(""codigo_programa"")"
"NOME PROGRAMA","programa","text","text","clean_text(""nome_programa"")"
"AÇÃO","acao_codigo","text","text","clean_text(""acao"")"
"NOME AÇÃO","acao","text","text","clean_text(""nome_acao"")"
"LINGUAGEM CIDADÃ","linguagem_cidada","text","text","clean_text(""linguagem_cidada"")"
"CÓDIGO GRUPO DESPESA","grupo_despesa_codigo","text","text","clean_text(""codigo_grupo_despesa"")"
"NOME GRUPO DESPESA","grupo_despesa","text","text","clean_text(""nome_grupo_despesa"")"
"CÓDIGO MODALIDADE APLICAÇÃO DESPESA","modalidade_aplicacao_codigo","text","text","clean_text(""codigo_modalidade_aplicacao_despesa"")"
"NOME MODALIDADE APLICAÇÃO DESPESA","modalidade_aplicacao","text","text","clean_text(""nome_modalidade_aplicacao_despesa"")"
"CÓDIGO ELEMENTO DESPESA","elemento_despesa_codigo","text","text","clean_text(""codigo_elemento_despesa"")"
"NOME ELEMENTO DESPESA","elemento_despesa","text","text","clean_text(""nome_elemento_despesa"")"
"CÓDIGO PLANO ORÇAMENTÁRIO","plano_orcamentario_codigo","text","text","clean_text(""codigo_plano_orcamentario"")"
"NOME PLANO ORÇAMENTÁRIO","plano_orcamentario","text","text","clean_text(""nome_plano_orcamentario"")"
"CÓDIGO SUBTÍTULO","subtitulo_codigo","text","text","clean_text(""codigo_subtitulo"")"
"NOME SUBTÍTULO","subtitulo","text","text","clean_text(""nome_subtitulo"")"
"CÓDIGO LOCALIZADOR","localizador_codigo","text","text","clean_text(""codigo_localizador"")"
"NOME LOCALIZADOR","localizador","text","text","clean_text(""nome_localizador"")"
"SIGLA LOCALIZADOR","localizador_sigla","text","text","clean_text(""sigla_localizador"")"
"DESCRIÇÃO COMPLEMENTAR LOCALIZADOR","localizador_descricao","text","text","clean_text(""descricao_complementar_localizador"")"
"CÓDIGO FAVORECIDO","favorecido_codigo","text","text","clean_text(""codigo_favorecido"")"
"NOME FAVORECIDO","favorecido","text","text","clean_text(""nome_favorecido"")"
"VALOR TRANSFERIDO","valor_transferido","text","decimal","REPLACE(REPLACE(""valor_transferido"", '.', ''), ',', '.')::decimal"
